"","Year","Area","Street","Street.2"
"285",2011,"Birmingham"," Gracechurchì Centre Ì Outsideì Supercigs"," Gracechurch centre  outside Supercigs"
"286",2011,"Birmingham"," Gracechurchì Shoppingì Centre Ì Suttonì Coldfield"," GraceChurch Shopping Centre  Sutton Coldfield"
"287",2011,"Birmingham"," Grassedì Areaì  Ì Pypeì Hayesì Park    "," grassed area   pype hayes park    "
"288",2011,"Birmingham","Gravelleyì Ln.","Gravelley lane"
"289",2011,"Birmingham","Gravelleyì Ln.","Gravelley lane"
"290",2011,"Birmingham","Gravelleyì Ln.","Gravelley lane"
"291",2011,"Birmingham"," Gravellyì Ln."," Gravelly Lane  Erdington  Birmingham"
"292",2011,"Birmingham","Hairyì Lemonì Pubì  Suttonì Coldfield","hairy lemon pub  sutton coldfield"
"293",2011,"Birmingham","Hairyì Lemonì Pubì  Suttonì Coldfield","hairy lemon pub  sutton coldfield"
"294",2011,"Birmingham","Hermatigeì Rd.","Hermatige Road"
"295",2011,"Birmingham","Hermatigeì Rd.","Hermatige Road"
"296",2011,"Birmingham","Hermitageì Drive","HERMITAGE DRIVE"
"297",2011,"Birmingham","Highì Str.","High Street"
"298",2011,"Birmingham","Highì Str.","high street erdington"
"299",2011,"Birmingham"," Highì Str."," high street  erdington"
"300",2011,"Birmingham"," Highì Str."," High Street  Erdington"
"301",2011,"Birmingham"," Highì Str."," High Street  S C"
"302",2011,"Birmingham"," Highì Str."," High Street  S C"
"303",2011,"Birmingham","Hightì Str.","Hight St ErdINGTON"
"304",2011,"Birmingham","Huntonì Hill","HUNTON HILL"
"305",2011,"Birmingham"," Kfcì Retailì Outletì  Ì Erdingtonì Highì Str."," KFC retail outlet   Erdington High street"
"306",2011,"Birmingham"," Kingsburyì Rd."," Kingsbury Road  Erdington  B ham"
"307",2011,"Birmingham","Kingstandingì Circle","Kingstanding Circle"
"308",2011,"Birmingham"," Ln."," Ladywell Walk  Birmingham"
"309",2011,"Birmingham","Ln.","Landsdown Road"
"310",2011,"Birmingham"," Lichfieldì Rd."," LICHFIELD ROAD  MERE GREEN"
"311",2011,"Birmingham"," Lichfieldì Rd."," LICHFIELD ROAD  SUTTON COLDFIELD"
"312",2011,"Birmingham"," Lindridgeì Rd."," Lindridge Road  Sutton Coldfield"
"313",2011,"Birmingham","Littleì Astonì Ln.","little aston lane"
"314",2011,"Birmingham","Longfordì Rd.","LONGFORD ROAD"
"315",2011,"Birmingham"," Longfordì Rd."," Longford Road  Kingstanding  B ham"
"316",2011,"Birmingham","Lowerì Parade","lower parade"
"317",2011,"Birmingham","Lowerì Parade","LOWER PARADE"
"318",2011,"Birmingham","Lowerì Parade","lower parade"
"319",2011,"Birmingham","Lowerì Parade","lower parade"
"320",2011,"Birmingham","Lowerì Parade","lower parade"
"321",2011,"Birmingham","Lowerì Parade","lower parade"
"322",2011,"Birmingham","Lowerì Parade","LOWER PARADE"
"323",2011,"Birmingham","Lowerì Parade","Lower Parade"
"324",2011,"Birmingham","Lowerì Parade","Lower Parade"
"325",2011,"Birmingham","Lowerì Parade","LOWER PARADE"
"326",2011,"Birmingham","Lowerì Parade","Lower Parade"
"327",2011,"Birmingham","Lowerì Parade","LOWER PARADE"
"328",2011,"Birmingham","Lowerì Parade","Lower Parade"
"329",2011,"Birmingham","Lowerì Parade","LOWER PARADE"
"330",2011,"Birmingham","Lowerì Parade","LOWER PARADE"
"331",2011,"Birmingham","Lowerì Parade","Lower Parade"
"332",2011,"Birmingham","Lowerì Parade","Lower Parade"
"333",2011,"Birmingham","Lowerì Parade","Lower Parade"
"334",2011,"Birmingham","Lowerì Parade","LOWER PARADE"
"335",2011,"Birmingham","Lowerì Paradeì Sc","lower parade SC"
"336",2011,"Birmingham","Lowerì Paradeì Sutton","LOWER PARADE SUTTON"
"337",2011,"Birmingham","Lowerì Paradeì Suttonì Coldfield","Lower Parade Sutton Coldfield"
"338",2011,"Birmingham"," Lowerì Parade "," lower parade "
"339",2011,"Birmingham"," Lowerì Parade Ì Sutonì Coldfield"," Lower parade  Suton Coldfield"
"340",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
"341",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," lower parade  sutton coldfield"
"342",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
"343",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
"344",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
"345",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
"346",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
"347",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
"348",2011,"Birmingham"," Lowerì Parade Ì Suttonì Coldfield"," Lower Parade  Sutton Coldfield"
